Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides, Type, IFMAP Base Addr, Filter Base Addr, Ofmap Base Addr,
QKT,512,128,128,512,1,1,1,Gemm,-1,-1,-1,
QKTV,512,512,512,128,1,1,1,Gemm,-2,-2,-1,
Linear1,512,5120,5120,15420,1,1,1,Gemm,-2,-2,-1,
Linear2,512,5120,5120,5120,1,1,1,Gemm,-2,-2,-1,
PW-FF-L1,512,5120,5120,20560,1,1,1,Gemm,-2,-2,-1,
PW-FF-L2,512,20560,20560,5120,1,1,1,Gemm,-2,-2,-1,
